ut,mean_altitude,surf_speed,g_force,aoa,aerodynamic_force,dynamic_pressure,highest_skin_temp,highest_skin_temp_part,critical_skin_temp,critical_skin_temp_part,ablator,atmosphere_density,mass,dry_mass,thurst
26562837.15590633,87.73782036174089,0.0028089772566288434,0.9955640435218811,15.173772811889648,0.012501336533280104,4.477821221371414e-06,304.1070494995227,"InflatableHeatShield",301.710157939953,"largeSolarPanel",0.0,1.1350115537643433,1024757.125,175797.125,0.0
26562837.15590633,87.73782036174089,0.0028089772566288434,0.9955640435218811,15.173772811889648,0.012501336533280104,4.477821221371414e-06,304.1070494995227,"InflatableHeatShield",301.710157939953,"largeSolarPanel",0.0,1.1350115537643433,1024757.125,175797.125,0.0
26562837.15590633,87.73782036174089,0.0028089772566288434,0.9955640435218811,15.173772811889648,0.012501336533280104,4.477821221371414e-06,304.1070494995227,"InflatableHeatShield",301.710157939953,"largeSolarPanel",0.0,1.1350115537643433,1024757.125,175797.125,0.0
26562837.15590633,87.73782036174089,0.0028089772566288434,0.9955640435218811,15.173772811889648,0.012501336533280104,4.477821221371414e-06,304.1070494995227,"InflatableHeatShield",301.710157939953,"largeSolarPanel",0.0,1.1350115537643433,1024757.125,175797.125,0.0
26562837.15590633,87.73782036174089,0.0028089772566288434,0.9955640435218811,15.173772811889648,0.012501336533280104,4.477821221371414e-06,304.1070494995227,"InflatableHeatShield",301.710157939953,"largeSolarPanel",0.0,1.1350115537643433,1024757.125,175797.125,0.0
26562837.15590633,87.73782036174089,0.0028089772566288434,0.9955640435218811,15.173772811889648,0.012501336533280104,4.477821221371414e-06,304.1070494995227,"InflatableHeatShield",301.710157939953,"largeSolarPanel",0.0,1.1350115537643433,1024757.125,175797.125,0.0
26562837.735906318,87.73777729459107,0.0010654070132438142,0.995042085647583,-6.305060386657715,0.00040024461686547625,6.441699156312097e-07,304.1208177923595,"InflatableHeatShield",301.7193706543729,"largeSolarPanel",0.0,1.1350091695785522,1024757.125,175797.125,0.0
26562838.4759063,87.73777540202718,0.0009503904415405457,0.994841456413269,-10.572265625,0.0002216931040664687,5.33783918399422e-07,304.1370110488276,"InflatableHeatShield",301.73023369032006,"largeSolarPanel",0.0,1.1350057125091553,1024757.125,175797.125,0.0
26562839.595906276,87.73777754011098,0.000959600519492813,0.9948520064353943,-2.5281476974487305,0.00018365513208094125,5.106461458126432e-07,304.16208965262337,"InflatableHeatShield",301.7482356097866,"largeSolarPanel",0.0,1.1350009441375732,1024757.125,175797.125,0.0
26562840.71590625,87.73777816432994,0.000973852653508973,0.9948524832725525,3.0026051998138428,0.00017303062678030413,5.382088943406416e-07,304.1871974193667,"InflatableHeatShield",301.77435686452094,"largeSolarPanel",0.0,1.1349960565567017,1024757.125,175797.125,0.0
26562841.795906227,87.73777752264868,0.0009444943244869605,0.9948488473892212,3.9233264923095703,0.00016863775555172063,5.062453851678583e-07,304.2131341509173,"InflatableHeatShield",301.8006643573919,"largeSolarPanel",0.0,1.1349912881851196,1024757.125,175797.125,0.0
26562842.915906202,87.73777653800789,0.0009480364726543798,0.9948348999023438,4.154022693634033,0.0001707882397973024,5.100478119857144e-07,304.23938488415985,"InflatableHeatShield",301.82504964547775,"largeSolarPanel",0.0,1.134986400604248,1024757.125,175797.125,0.0
26562844.015906177,87.73777756339405,0.0009544465997205861,0.9948453903198242,2.600299596786499,0.00017687864172372445,5.169662813386822e-07,304.2658852349987,"InflatableHeatShield",301.8452919831241,"largeSolarPanel",0.0,1.134981632232666,1024757.125,175797.125,0.0
26562845.135906152,87.73777824034914,0.0009431793698775811,0.9948495626449585,1.5005669593811035,0.00017105702674555462,5.048303819421562e-07,304.29273460285077,"InflatableHeatShield",301.8622304343862,"largeSolarPanel",0.0,1.1349767446517944,1024757.125,175797.125,0.0
26562846.235906128,87.73777758947108,0.0009134609109127674,0.9948332905769348,-0.6616339683532715,0.00017389911307424168,4.735162519864389e-07,304.3197319650478,"InflatableHeatShield",301.8755672867334,"largeSolarPanel",0.0,1.1349717378616333,1024757.125,175797.125,0.0
26562847.315906104,87.73777757957578,0.0009592829135794252,0.9948505759239197,0.5444304943084717,0.0001762238742593994,5.222119057179953e-07,304.3448589791356,"InflatableHeatShield",301.886349411117,"largeSolarPanel",0.0,1.1349672079086304,1024757.125,175797.125,0.0
26562848.41590608,87.73777722101659,0.0009740896125452403,0.9948337078094482,1.871924638748169,0.00016890325446379485,5.103830744701554e-07,304.36890672144216,"InflatableHeatShield",301.89545214461003,"largeSolarPanel",0.0,1.1349623203277588,1024757.125,175797.125,0.0
26562849.475906055,87.73775148391724,0.0011460690671764371,0.9948525428771973,17.177099227905273,0.0007671528438299324,7.453691068803892e-07,304.39286102730586,"InflatableHeatShield",301.9025555281275,"largeSolarPanel",0.0,1.1349576711654663,1024757.125,175797.125,0.0
26562850.59590603,88.64892990328372,2.942042772079851,1.4954488277435303,-0.006982898805290461,121.95524876637899,5.245672702789307,304.4203966670791,"InflatableHeatShield",301.9138961475584,"largeSolarPanel",0.0,1.1348183155059814,1021442.1875,175797.125,14997419.0
26562851.755906004,95.4521997217089,8.704540420750327,1.5043004751205444,-0.007566597778350115,1042.5134960518108,42.95745086669922,304.453942869627,"InflatableHeatShield",301.97788898952825,"largeSolarPanel",0.0,1.1338812112808228,1015537.625,175797.125,14998566.0
26562852.89590598,108.70861655601766,14.46712670866845,1.5131216049194336,-0.006689353846013546,2907.7101114533584,118.47148132324219,306.8173150518139,"Size3EngineCluster",302.0916678726604,"largeSolarPanel",0.0,1.1320456266403198,1009632.9375,175797.125,15000840.0
